,Country,Track Name,Artist Name,Album Name,Popularity,Date,Markets,Danceability,Acousticness,duration,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,TSignature,Positiveness
1668,LVA,Another Love,Tom Odell,Long Way Down (Deluxe),92,6/24/2013,AR,0.445,0.695,244360,0.537,1.65e-05,4,0.0944,-8.532,0,0.04,122.769,4,0.131
1669,LVA,(It Goes Like) Nanana - Edit,Peggy Gou,(It Goes Like) Nanana,44,9/29/2023,AR,0.671,0.12,231545,0.876,0.188,7,0.0823,-5.681,0,0.0352,129.998,4,0.964
1670,LVA,Water,Tyla,Water,95,7/28/2023,AR,0.673,0.0856,200256,0.722,0,3,0.137,-3.495,0,0.0755,117.187,4,0.519
1671,LVA,9mm,Memphis Cult,Memphis Cult Vol. 6,18,2/23/2023,AR,0.737,0.00322,86710,0.915,2.58e-05,0,0.084,-2.749,1,0.0412,154.964,4,0.304
1672,LVA,Flashing Lights,Kanye West,Graduation,89,9/11/2007,AR,0.639,0.0381,237507,0.628,0,6,0.386,-7.578,0,0.0399,90.482,4,0.43
1673,LVA,Seven (feat. Latto) (Explicit Ver.),Jung Kook,GOLDEN,83,11/3/2023,AR,0.79,0.312,183551,0.831,0,11,0.0797,-4.185,1,0.044,124.987,4,0.872
1674,LVA,Why'd You Only Call Me When You're High?,Arctic Monkeys,AM,90,9/9/2013,AR,0.691,0.0483,161124,0.631,1.13e-05,2,0.104,-6.478,1,0.0368,92.004,4,0.8
1675,LVA,Hate It Or Love It,The Game,The Documentary,85,2005,AR,0.802,0.14,206400,0.785,0,9,0.123,-4.781,1,0.207,99.998,4,0.435
1676,LVA,Pink + White,Frank Ocean,Blonde,91,8/20/2016,AR,0.545,0.667,184516,0.545,5.48e-05,9,0.417,-7.362,1,0.107,159.94,3,0.549
1677,LVA,Heartless,Kanye West,808s & Heartbreak,89,11/24/2008,AR,0.79,0.0515,211000,0.647,0,10,0.248,-5.983,0,0.136,87.999,4,0.654
1678,LVA,Cruel Summer,Taylor Swift,Lover,99,8/23/2019,AR,0.552,0.117,178427,0.702,2.06e-05,9,0.105,-5.707,1,0.157,169.994,4,0.564
1679,LVA,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd,Popular (Music from the HBO Original Series),92,6/2/2023,AR,0.855,0.0569,215467,0.678,3.69e-05,1,0.412,-6.276,1,0.189,99.029,4,0.852
1680,LVA,Stargirl Interlude,The Weeknd,Starboy,88,11/24/2016,AR,0.715,0.353,111627,0.47,0.0923,5,0.104,-12.638,0,0.0772,89.965,4,0.426
1681,LVA,I'm Good (Blue),David Guetta,I'm Good (Blue),92,8/26/2022,AR,0.561,0.00383,175238,0.965,7.07e-06,7,0.371,-3.673,0,0.0343,128.04,4,0.304
1682,LVA,Starboy,The Weeknd,Starboy,94,11/25/2016,AR,0.679,0.141,230453,0.587,6.35e-06,7,0.137,-7.015,1,0.276,186.003,4,0.486
1683,LVA,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),93,10/26/2023,AR,0.596,0.0504,229478,0.658,0,0,0.127,-7.346,1,0.036,100.012,4,0.176
1684,LVA,As It Was,Harry Styles,Harry's House,95,5/20/2022,AR,0.52,0.342,167303,0.731,0.00101,6,0.311,-5.338,0,0.0557,173.93,4,0.662
1685,LVA,We Are The People,Empire of the Sun,Walking On A Dream,51,1/1/2008,US,0.666,0.0981,267355,0.785,0.0198,4,0.434,-5.37,0,0.0308,122.973,4,0.549
1686,LVA,Homecoming,Kanye West,Graduation,85,9/11/2007,AR,0.667,0.337,203493,0.747,0,1,0.115,-7.059,1,0.189,86.917,4,0.918
1687,LVA,Money Trees,Kendrick Lamar,"good kid, m.A.A.d city",84,2012,CA,0.716,0.0703,386907,0.531,0,7,0.224,-7.355,1,0.122,71.994,4,0.344
1688,LVA,Star Shopping,Lil Peep,Star Shopping,86,2015,AR,0.538,0.0946,142000,0.471,0.0185,4,0.116,-9.84,0,0.0955,93.07,4,0.307
1689,LVA,Apocalypse,Cigarettes After Sex,Cigarettes After Sex,90,6/9/2017,AR,0.37,0.0205,290617,0.467,0.572,5,0.109,-9.013,1,0.0273,94.485,4,0.182
1690,LVA,I KNOW ?,Travis Scott,UTOPIA,92,7/28/2023,AR,0.927,0.0186,211582,0.619,0,5,0.104,-4.441,0,0.0539,117.995,4,0.817
1691,LVA,Dance The Night - From Barbie The Album,Dua Lipa,Dance The Night (From Barbie The Album),94,5/25/2023,AR,0.671,0.0207,176579,0.845,0,11,0.329,-4.93,0,0.048,110.056,4,0.775
1692,LVA,Agora Hills,Doja Cat,Scarlet,82,9/20/2023,AR,0.755,0.183,265360,0.687,0.000177,8,0.125,-6.247,0,0.101,123.01,4,0.381
1693,LVA,Too Many Nights (feat. Don Toliver & with Future),Metro Boomin,HEROES & VILLAINS,89,12/2/2022,AR,0.684,0.189,199920,0.671,2.37e-05,7,0.122,-4.392,0,0.0464,88.048,4,0.156
1694,LVA,See You Again (feat. Kali Uchis),"Tyler, The Creator",Flower Boy,92,7/21/2017,AR,0.558,0.371,180387,0.559,7.49e-06,6,0.109,-9.222,1,0.0959,78.558,4,0.62
